1	1	1	0	2	2	7	1	1	1	1	1	1	1	1	1	3	2	2	0.5	0.5	1	1	1	1	1	1	1	24.0
1	0	1	0	2	2	6	0	1	1	1	1	0	1	1	1	3	2	2	0.5	0.5	1	1	1	1	0	1	1	21.0
1	1	0	0	2	2	6	1	1	1	1	1	1	1	1	1	3	0	0	1	1	1	1	1	1	1	1	1	21.0
0	0	1	1	2	2	6	1	1	1	1	0	0	0	0	1	3	2	2	1	1	1	1	1	1	0	1	1	20.0
1	0	0	0	2	2	5	1	1	0	0	1	1	1	1	1	3	0	2	0.5	0.5	1	1	0.5	1	0	1	1	18.5
0	0	1	0	2	2	5	1	1	0	0	1	1	1	1	1	3	0	2	1	1	1	1	0	0	0	0	0	16.0
1	0	1	1	2	0	5	1	1	1	1	1	1	1	1	1	3	2	2	1	1	1	1	1	1	0	1	1	24.0
0.5	0	1	1	2	0	4.5	1	1	0	0	1	1	0	1	1	3	0	2	1	1	1	1	0	0	0	1	0	16.0
0	0	0	0	2	2	4	1	1	0	0	0	1	1	1	0.5	3	2	2	0.5	1	1	1	1	1	1	1	1	21.0
1	0	0	0	2	1	4	1	0	0	0	1	1	1	1	1	3	0	0	0.5	0.5	1	0	0.5	1	0	1	1	14.5
1	0	0	0	2	1	4	1	1	0	0	1	1	1	1	1	1	2	2	1	1	1	1	1	1	0	1	1	20.0
0	0	0	0	2	2	4	0	0	0	0	0	0	1	0	1	3	2	2	0	0	0	0	1	1	1	1	1	14.0
1	0	0	0	1	2	4	1	1	1	1	0	0	0	0	1	3	2	2	0.5	0.5	1	1	1	1	0	1	1	19.0
0	0	0	0	1	2	3	1	1	1	1	0	0	0	0	1	2	0	2	1	0	1	1	1	1	1	1	1	17.0
0.5	0	0	0	0.5	2	3	1	1	0	0	0	0	0	0	1	3	0	0	0.5	0.5	1	1	0.5	0	0	1	0	10.5
0	0	0	0	2	0	2	1	1	1	1	0	0	0	0	1	3	2	2	0	0	1	0	1	1	1	1	1	18.0
1	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	1	2	2	0.5	0.5	1	1	0.5	1	1	1	0	12.5
0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	2	2	0.5	0.5	1	1	0	0	0	0	0	09.0
0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	3	0	2	0.5	0.5	1	1	0	0	0	0	1	13.0
0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	02.0
