1	1	1	1	2	2	8	0	1	1	0	1	1	1	1	1	3	2	2	1	1	1	1	1	1	1	1	0	22.0
1	1	1	0	2	2	7	1	1	0	0	1	0	1	0	1	3	2	2	0.5	0.5	1	1	1	0	1	1	1	17.0
1	0	1	0	2	2	6	1	1	1	1	0	0	0	0	1	3	2	2	0.5	0.5	1	1	1	1	0	1	1	18.0
1	1	0	0	2	2	6	1	1	1	1	0	0	0	0	0	0	0	0	0.5	0.5	0	0	1	1	1	1	1	10.0
1	0.5	1	0	1	2	5.5	1	1	1	0	1	1	1	1	1	3	0	2	0	0	0	0	0.5	0	1	1	1	16.5
1	0	0	0	2	2	5	1	0	0	0	0	0	0	0	1	3	2	2	0.5	0.5	1	1	0.5	0	1	0	0	12.5
1	0	0	0	2	2	5	1	1	0	0	1	1	1	1	1	2	0	0	0.5	0.5	1	1	0	1	1	0	0	13.0
0	0	0	0	2	2	4	1	1	1	1	0	0	0	0	1	3	0	0	0.5	0.5	1	1	1	1	0	1	1	15.0
0	0	0	0	2	2	4	1	1	1	0	0	0	0	0	0	0	2	2	0	0	1	0	1	1	0	1	0	05.0
0	0	0	0	2	2	4	1	1	1	1	0	0	0	0	1	3	0	2	0	0	1	1	1	1	1	1	1	16.0
1	1	0	0	2	0	4	0	1	0	0	0	0	0	0	1	1	0	2	1	1	1	1	0	1	0	0	0	09.0
0	0	0	0	2	2	4	1	0	0	0	0	0	0	0	1	3	0	0	1	1	1	0	0.5	0	0	1	0	01.0
1	0	0	0	2	1	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	01.0
1	0	0	0	2	0	3	1	0	0	0	1	1	0	1	1	3	0	2	0.5	0.5	0	0	0	0	0	0	0	11.0
1	0	1	1	0	0	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	02.0
1	0	0	0	2	0	3	1	1	0	0	1	1	0	1	1	3	2	2	1	1	1	1	1	1	0	1	1	21.0
0	0	0	0	0	2	2	1	1	1	0	0	0	0	0	1	3	0	0	0.5	0.5	1	1	1	1	0	1	1	08.0
0	0	0	0	0	2	2	1	1	1	1	0	0	0	0	1	3	0	0	0	0	0	0	0.5	1	0	1	0	10.5
0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	3	0	0	0	0	0	0	0	0	0	0	0	04.0
0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	3	0	0	1	1	1	1	0	1	0	1	1	07.0
0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0	0	2	2	1	1	1	0	0	1	0	1	0	12.0
